station_id;date_from;date_to;altitude;latitude;longitude;name;state
2173;1976-01-01;2007-12-31;60;51.589;7.1548;Herten;Nordrhein-Westfalen
2338;1974-06-01;2005-12-23;39;52.3333;7.55;Hopsten (Flugplatz);Nordrhein-Westfalen
2422;1938-01-01;1978-06-30;230;51.3768;7.7644;Iserlohn-Westig;Nordrhein-Westfalen
2474;1976-01-01;2008-12-31;91;50.9104;6.4093;Jülich (Forsch.-Anlage);Nordrhein-Westfalen
2482;1978-12-01;1980-04-30;741;51.1801;8.4887;Kahler Asten (A);Nordrhein-Westfalen
2483;1926-11-01;2020-02-26;839;51.1803;8.4891;Kahler Asten;Nordrhein-Westfalen
2494;1993-01-01;2013-09-30;31;51.7329;6.2688;Kalkar;Nordrhein-Westfalen
2497;1947-01-01;2020-02-26;505;50.5014;6.5264;Kall-Sistig;Nordrhein-Westfalen
2629;1947-11-11;2020-02-26;46;51.7612;6.0954;Kleve;Nordrhein-Westfalen
2665;1936-01-01;1984-12-31;45;50.9615;6.9712;Köln-Botanischer Garten;Nordrhein-Westfalen
2667;1957-07-01;2020-02-26;92;50.8646;7.1575;Köln-Bonn;Nordrhein-Westfalen
2703;1998-01-01;2000-10-10;496;51.855;9.3239;Köterberg;Nordrhein-Westfalen
2798;1975-01-01;1998-05-31;32;51.6;6.15;Laarbruch;Nordrhein-Westfalen
2947;1962-04-01;2020-02-26;286;51.1333;8.0348;Lennestadt-Theten;Nordrhein-Westfalen
2968;1945-01-01;2020-02-26;43;50.9894;6.9777;Köln-Stammheim;Nordrhein-Westfalen
3028;1951-01-01;2020-02-26;157;51.7855;8.8388;Lippspringe, Bad;Nordrhein-Westfalen
3031;1980-12-01;2020-02-26;92;51.6336;8.3945;Lippstadt-Bökenförde;Nordrhein-Westfalen
3096;1940-01-01;1995-12-31;444;51.2131;7.6359;Lüdenscheid (Zeppelin-Gymnasiu;Nordrhein-Westfalen
3098;1993-12-23;2020-02-26;387;51.2452;7.6425;Lüdenscheid;Nordrhein-Westfalen
3101;1950-01-01;1995-09-30;58;51.7694;7.4128;Lüdinghausen;Nordrhein-Westfalen
3227;1933-01-01;1980-11-30;216;51.8936;8.9842;Meinberg, Bad;Nordrhein-Westfalen
3228;1979-08-01;1997-03-31;506;51.0976;7.667;Meinerzhagen (A);Nordrhein-Westfalen
3320;1935-01-01;1953-05-31;49;51.197;6.4499;Mönchengladbach;Nordrhein-Westfalen
3321;2008-04-25;2020-02-26;77;51.1313;6.3609;Mönchengladbach-Hilderath;Nordrhein-Westfalen
3404;1891-01-01;1991-12-31;62;51.9494;7.5906;Münster;Nordrhein-Westfalen
3540;1992-09-01;2020-02-26;195;50.8446;7.372;Neunkirchen-Seelscheid-Krawink;Nordrhein-Westfalen
3541;1962-08-01;1992-02-29;185;50.8956;7.3081;Neunkirchen-Seelscheid-Meisenb;Nordrhein-Westfalen
3591;1994-01-01;2020-02-26;350;50.6743;6.424;Nideggen-Schmidt;Nordrhein-Westfalen
3623;1969-01-01;2020-02-26;111;50.8294;6.6602;Nörvenich (Flugplatz);Nordrhein-Westfalen
3657;1983-06-01;2015-08-31;341;50.9081;7.5543;Nümbrecht auf dem Lindchen;Nordrhein-Westfalen
3658;1980-07-01;2005-01-31;303;50.9095;7.5725;Nümbrecht-Distelkamp;Nordrhein-Westfalen
3753;1964-01-01;1993-03-31;56;52.2042;7.1784;Ochtrup;Nordrhein-Westfalen
4063;1951-01-01;2020-02-26;41;52.4461;8.5906;Rahden-Kleinendorf;Nordrhein-Westfalen
4100;1954-01-01;1973-12-31;109;51.6243;7.182;Recklinghausen;Nordrhein-Westfalen
4127;1991-10-01;2020-02-26;350;50.9906;7.6958;Reichshof-Eckenhagen;Nordrhein-Westfalen
4154;2011-02-01;2018-06-30;345;51.18;7.2505;Remscheid-Lennep;Nordrhein-Westfalen
4174;1971-01-01;2017-12-20;40;52.2887;7.3866;Rheine-Bentlage;Nordrhein-Westfalen
4240;1948-01-01;1992-09-30;440;50.6407;6.2058;Roetgen;Nordrhein-Westfalen
4371;1935-01-01;2020-02-26;135;52.1042;8.7521;Salzuflen, Bad;Nordrhein-Westfalen
4401;1950-01-01;1980-06-30;81;51.6334;8.1872;Sassendorf, Bad-Ostinghausen;Nordrhein-Westfalen
4442;1981-01-01;2007-12-31;155;51.9119;9.1533;Schieder;Nordrhein-Westfalen
4649;1947-01-01;1956-05-31;214;50.8698;7.3228;Seelscheid;Nordrhein-Westfalen
4692;1937-01-01;2018-11-30;229;50.8534;7.9966;Siegen (Kläranlage);Nordrhein-Westfalen
4741;1936-01-01;2002-12-31;152;51.14;7.093;Solingen-Hohenscheid;Nordrhein-Westfalen
5064;2004-12-01;2020-02-26;37;51.2897;6.4437;Tönisvorst;Nordrhein-Westfalen
5347;1998-01-01;2020-02-26;236;51.504;9.1118;Warburg;Nordrhein-Westfalen
5480;1975-01-01;2020-02-26;85;51.5763;7.8879;Werl;Nordrhein-Westfalen
5564;1975-01-01;1992-03-31;88;51.1167;6.2167;Wildenrath;Nordrhein-Westfalen
5610;1958-01-01;2008-12-31;681;51.1968;8.5268;Winterberg;Nordrhein-Westfalen
5717;1937-01-01;2020-02-26;134;51.2256;7.1052;Wuppertal-Buchenhofen;Nordrhein-Westfalen
5719;2004-10-01;2009-12-10;235;51.2051;7.2;Remscheid;Nordrhein-Westfalen
6197;2000-10-11;2020-02-26;258;51.8664;9.2709;Lügde-Paenbruch;Nordrhein-Westfalen
6264;2004-06-01;2020-02-26;457;51.414;8.65;Brilon-Thülen;Nordrhein-Westfalen
6337;2004-08-01;2020-02-26;59;51.7663;7.5194;Lüdinghausen-Brochtrup;Nordrhein-Westfalen
7106;2006-09-01;2020-02-26;105;52.0714;8.4565;Bielefeld-Deppendorf;Nordrhein-Westfalen
7330;2005-10-01;2020-02-26;159;51.4633;7.978;Arnsberg-Neheim;Nordrhein-Westfalen
7374;2006-03-01;2020-02-26;46;52.0814;6.941;Ahaus;Nordrhein-Westfalen
7416;2008-09-11;2020-02-26;541;51.0112;8.2733;Birkelbach;Nordrhein-Westfalen
13670;2007-05-31;2020-02-26;24;51.5088;6.7018;Duisburg-Baerl;Nordrhein-Westfalen
13693;2008-06-11;2020-02-26;70;51.9258;8.3111;Gütersloh/Ems;Nordrhein-Westfalen
13696;2007-12-01;2020-02-26;60;51.5966;7.4049;Waltrop-Abdinghof;Nordrhein-Westfalen
13700;2008-05-01;2020-02-26;205;51.3329;7.3411;Gevelsberg-Oberbröking;Nordrhein-Westfalen
13713;2007-11-01;2020-02-26;380;51.0899;7.629;Meinerzhagen-Redlendorf;Nordrhein-Westfalen
13901;1979-02-01;2020-02-26;41;51.7343;7.1998;Haltern (Wasserwerk);Nordrhein-Westfalen
13952;2009-02-01;2020-02-26;278;51.4089;8.0094;Arnsberg-Müschede;Nordrhein-Westfalen
15000;2011-04-01;2020-02-26;231;50.7983;6.0244;Aachen-Orsbach;Nordrhein-Westfalen
15120;2012-03-01;2020-02-26;379;51.5572;8.7019;Haaren;Nordrhein-Westfalen
15190;2018-07-01;2020-02-26;18;51.6802;6.4349;Xanten (Wasserwerk);Nordrhein-Westfalen
15200;2013-06-01;2020-02-26;327;51.2531;7.2156;Wuppertal;Nordrhein-Westfalen
15963;1954-01-01;2004-11-30;40;51.3258;6.5089;St. Tönis;Nordrhein-Westfalen
